type,title,abstract,date,startTime,endTime,room
Builders' Fair,Draw an app: Sketch to reality [REPEAT],"A picture is worth a thousand words. Unlike traditional code generator bots, we offer a digital canvas where you can whiteboard an app interface, components, and interactions, and watch a fully functioning app come to life in real time. This tool allows for effortless and natural development of full-stack applications without writing any code. Powered by multimodal generative AI technology on AWS, this project demonstrates the future of app development with an engaging and intriguing demo.",2024-12-02,16:00,19:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 17
Builders' Fair,Draw an app: Sketch to reality [REPEAT],"A picture is worth a thousand words. Unlike traditional code generator bots, we offer a digital canvas where you can whiteboard an app interface, components, and interactions, and watch a fully functioning app come to life in real time. This tool allows for effortless and natural development of full-stack applications without writing any code. Powered by multimodal generative AI technology on AWS, this project demonstrates the future of app development with an engaging and intriguing demo.",2024-12-03,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 17
Keynote,Dr. Swami Sivasubramanian Keynote,"Join Dr. Swami Sivasubramanian, VP of AI and Data at AWS, to discover how you can use a strong data foundation to create innovative and differentiated solutions for your customers. Hear from customer speakers with real-world examples of how they’ve used data to support a variety of use cases, including generative AI, to create unique customer experiences.",2024-12-04,08:30,10:30,Venetian | Level 2 | Venetian Ballroom F
Keynote,Dr. Werner Vogels Keynote,"Join Dr. Werner Vogels, VP and CTO at Amazon.com, as he shares the critical lessons and strategies he has learned for managing increasingly complex systems. The keynote explores the core principles for embracing complexity, drawing on Amazon’s experiences building distributed systems at massive scale.",2024-12-05,08:30,10:30,Venetian | Level 2 | Venetian Ballroom F
Workshop,Education revolutionized with generative AI,"Imagine a world where learning is no longer a one-size-fits-all experience but a personalized journey tailored to each individual’s needs. Learn how to harness the power of generative AI and AWS services to revolutionize the education space. In this workshop, see how generative AI can aid with different learning styles, productivity, and accessibility for students. Get ready to be inspired by the art of the possible in leveraging technology to transform the way people learn. You must bring your laptop to participate.",2024-12-04,16:00,18:00,MGM | Level 1 | Grand 115
Chalk talk,Effectively model costs for your serverless applications [REPEAT],"In this chalk talk, gain insights into modeling the cost of serverless applications on AWS. Learn how traditional approaches based on CPU, memory, storage, and networking costs don’t directly apply. Discover how to holistically model costs for distributed serverless architectures by considering request loads, payload sizes, and service pricing. Walk through an example serverless application architecture, and leave with practical knowledge for accurately estimating costs tailored to modern, serverless application designs.",2024-12-02,16:00,17:00,Caesars Forum | Level 1 | Academy 411
Chalk talk,Effortless observability for modern workloads [REPEAT],"Gain deep visibility into your workloads without complex instrumentation. In this chalk talk, explore Amazon CloudWatch features that enable easy collection, aggregation, and visualization of metrics, logs, and traces. Discover how CloudWatch Container Insights and CloudWatch Lambda Insights provide summarized insights into your containers and serverless environments using metrics and logs. Learn how CloudWatch Application Signals collects metrics and traces from your applications, displaying key metrics like call volume, availability, latency, faults, and errors in seconds with minimal setup from frontend to database.",2024-12-02,09:00,10:00,MGM | Level 1 | Boulevard 156
Workshop,Elevate contact center performance with AI-driven agent coaching,"Attend this hands-on workshop and learn how Amazon Connect and generative AI can be applied to boost contact center agent development and training. Explore how to leverage data and insights from Amazon Connect to create tailored coaching programs with personalized guidance for each agent based on business-specific and behavioral scenarios. Then learn how to use generative AI to automate the coaching process through immersive training sessions, empowering agents to elevate their skills and improve customer engagement. You must bring your laptop to participate.",2024-12-04,09:00,11:00,Caesars Forum | Level 1 | Academy 412
Chalk talk,Engineer and develop innovative products faster with generative AI [REPEAT],"In this session, learn how generative AI can be used in product engineering and development, from responding to a Request for Proposal (RFP) to generating new concepts and developing digital threads. Watch how to extract the key functional, technical, compliance, and user experience requirements from multiple document types including 2D technical drawings. Explore how to share data across engineering disciplines in various languages and how to enrich generative design for new product ideas. This session showcases some of these generative AI product engineering use cases with live demos and code samples.",2024-12-02,17:30,18:30,MGM | Level 1 | Boulevard 158
Exam Prep,Exam prep: AWS Certified Solutions Architect – Associate,Prepare for the AWS Certified Solutions Architect – Associate exam with this 90-minute study session. Review questions from the official practice question set. Get your questions answered by the subject matter expert leading the study session. Continue preparing for your exam with confidence following the four-step plan on AWS Skill Builder.,2024-12-02,12:30,14:00,Mandalay Bay | Level 2 South | Breakers H
Breakout session,Failing without flailing: Lessons we learned at AWS the hard way,"At AWS, we’ve learned that building resilient services requires more than just designing for high availability. In this session AWS operational leaders are back for more insights on how to mitigate impact when, not if, the unexpected happens. Hear a few short stories collected from 18 years of operational excellence, with practical advice on preparing for and mitigating failure.",2024-12-02,13:30,14:30,Venetian | Level 3 | Lido 3002
Breakout session,Fullstack AI with AWS Amplify,"Generative AI is transforming fullstack development. In this session, learn how AWS Amplify, Amazon Q, and Amazon Bedrock work together to streamline building generative AI apps. See how Amplify enables developers to build AI-driven features like intelligent search, summarization, content generation, and interactive chatbots backed by Amazon Bedrock. The session also demonstrates how Amplify with Amazon Q can accelerate your development process.",2024-12-02,15:00,16:00,Mandalay Bay | Lower Level North | Islander G
Self-paced training,Get building with AWS [REPEAT],"Take your AWS Cloud expertise to the next level with three self-paced, interactive learning options. Dive into generative AI-powered simulations with AWS SimuLearn to grow your expertise in translating business problems into technical solutions. Practice building solutions for common cloud scenarios in a live lab environment with AWS Builder Labs. Solve a series of challenges to expand your problem-solving skills with AWS Jam. With over 200 offerings, there’s something for you whether you’re a senior technical professional or an organizational decision maker. Workstations are provided and registration is not required.",2024-12-02,08:00,18:00,Venetian | Level 2 | Venetian Ballroom E | Self Paced Training
Workshop,Go from idea to app in hours using AWS Amplify and Amazon Q Developer [REPEAT],"Bring your full-stack app from idea to reality faster with AWS Amplify and Amazon Q Developer. In this workshop, use AWS Amplify to build and deploy a full-stack app, and see how Amazon Q Developer speeds up the entire software development lifecycle. Leave this workshop knowing how to build and launch a cloud-connected app. You must bring your laptop to participate.",2024-12-05,12:00,14:00,MGM | Level 3 | Premier 312
Chalk talk,Guardrails for financial services LLMs with Amazon Bedrock & SageMaker [REPEAT],"Financial institutions need to exercise caution when it comes to incorporating large language models (LLMs) in customer-facing products due to the risk of hallucinations. It’s also important to implement robust safeguards against the inadvertent sharing of sensitive data. In this chalk talk, learn strategies to refine datasets, maintain high-quality inputs, and customize LLM outputs to meet the precise requirements of the financial services industry. Walk through how you can use Amazon Bedrock and Amazon SageMaker to fine-tune LLMs, and gain practical insights that can help you unlock the power of generative AI while maintaining business-critical controls and compliance.",2024-12-02,13:00,14:00,Wynn | Convention Promenade | Montrachet 1
Chalk talk,Guardrails for financial services LLMs with Amazon Bedrock & SageMaker [REPEAT],"Financial institutions need to exercise caution when it comes to incorporating large language models (LLMs) in customer-facing products due to the risk of hallucinations. It’s also important to implement robust safeguards against the inadvertent sharing of sensitive data. In this chalk talk, learn strategies to refine datasets, maintain high-quality inputs, and customize LLM outputs to meet the precise requirements of the financial services industry. Walk through how you can use Amazon Bedrock and Amazon SageMaker to fine-tune LLMs, and gain practical insights that can help you unlock the power of generative AI while maintaining business-critical controls and compliance.",2024-12-05,14:00,15:00,Wynn | Convention Promenade | Montrachet 1
Workshop,Hands-on experience with Amazon CloudWatch [REPEAT],"Your enterprise’s agility, customer satisfaction, and business growth depend on setting up great observability. In order to help you build high-performing and reliable applications, AWS provides a variety of turnkey AWS native observability services and solutions. In this workshop, learn how to monitor AWS services with Amazon CloudWatch, get hands-on experience with the most common use cases, and learn about and implement the newest features available. You must bring your laptop to participate.",2024-12-02,08:00,10:00,Mandalay Bay | Level 2 South | Oceanside C
Chalk talk,How to build resilient applications on Amazon EKS [REPEAT],"As mission-critical applications increasingly run on Amazon EKS clusters, meeting service level objectives (SLOs) is paramount. This chalk talk delves into strategies and best practices to enhance the resiliency of your workloads, minimize the impact of failures, and ensure high availability and continuity of service delivery. Explore various strategies, including multi-cluster connectivity, disaster recovery, and failover mechanisms. In addition, learn about AWS-managed observability services and how to achieve operational excellence through observability best practices. Attend this talk to gain practical insights to mitigate risks, minimize downtime, and ensure continuous availability of your containerized workloads on Amazon EKS.",2024-12-02,09:00,10:00,MGM | Level 3 | Premier 320
Breakout session,I didn't know AWS AppSync could do that!,"AWS AppSync is a managed service for developers to connect their apps to cloud data, events, and AI models. No longer just a GraphQL API service, with AWS AppSync you can leverage serverless WebSockets to create real-time event APIs, build AI gateways to simplify and secure application access to Amazon Bedrock, and more. Join this session to learn about all the exciting new AWS AppSync features released this year.",2024-12-02,13:30,14:30,Mandalay Bay | Lower Level North | South Pacific E | Purple
Builders' Fair,I'm not a doctor but I play one with AI [REPEAT],Experience an interactive game that challenges players to diagnose medical conditions based on medical images and interaction with a AI-driven physician. The game is designed to educate and engage players in the process of medical diagnosis while showcasing the capabilities of AWS AI/ML services like Amazon Bedrock and Amazon SageMaker.,2024-12-03,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 10
Breakout session,Introduction to MLOps engineering on AWS,"Could your machine learning (ML) workflows use some DevOps agility? In this session, explore how to bring DevOps-style practices into building, training, and deploying ML models. Also learn how to address the challenges associated with handoffs between data engineers, data scientists, software developers, and operations through the use of tools, automation, processes, and teamwork. ",2024-12-02,13:30,14:30,Mandalay Bay | Level 3 South | South Seas B
Builders' session,Make applications highly resilient with AWS Fault Injection Service [REPEAT],"Application resilience is critical to the highly regulated financial services industry, and AWS tools and best practices can help you meet required levels of resilience and reliability. During this gamified builders’ session, compete with peers to evolve a simple, non-resilient banking application into a highly resilient architecture. This application uses technologies common in the financial services industry, including Java, containers, PostgreSQL, and Apache Kafka. Learn how to improve your application so that it can successfully pass the different tests AWS Fault Injection Service generates, such as a database failover, a container reboot, or an Availability Zone loss.",2024-12-05,14:30,15:30,MGM | Level 3 | 353
Chalk talk,Managing state in serverless applications [REPEAT],"Learn effective state management strategies for serverless computing with AWS Lambda and Amazon ECS on AWS Fargate in this chalk talk. Understand the challenges of traditional state management approaches when applied to ephemeral, event-driven serverless applications—and their impact on design and scalability. Discover how to use managed AWS services like Amazon DynamoDB and Amazon EFS to handle stateful data in serverless environments. Gain best practices and design patterns for managing state seamlessly in your serverless applications. Leave equipped with practical techniques for overcoming state management hurdles in serverless architectures.",2024-12-05,14:30,15:30,MGM | Level 3 | Premier 309
Chalk talk,"Mastering automated, zero-downtime deployments [REPEAT]","Unlock the power of seamless, risk-free deployments with this insightful chalk talk. Discover how to leverage AWS services like AWS CodePipeline, AWS CodeBuild, and AWS AppConfig to automate safe, hands-off deployments to Amazon EC2, Amazon ECS, and AWS Lambda across multiple accounts and Regions at scale. Explore zero-downtime deployment strategies and learn best practices for reducing risk when deploying to AWS. Whether you’re a seasoned DevOps professional or just starting your cloud journey, this talk equips you with the tools and techniques to streamline your deployment processes, ensuring reliability and minimizing disruptions.",2024-12-02,10:30,11:30,Mandalay Bay | Lower Level North | South Pacific D
Chalk talk,Migrate and modernize your containerized workloads with AWS Fargate,"AWS Fargate helps customers reduce the operational burden of deploying and monitoring their container workloads so they can focus on building applications and running their businesses. In this chalk talk, learn about design considerations for migrating workloads from Amazon EC2 to AWS Fargate serverless compute running on Amazon ECS.",2024-12-02,10:00,11:00,Caesars Forum | Level 1 | Forum 132
Builders' Fair,Mobile robot teleoperation with interactive instruction feature [REPEAT],"See a demo of mobile robot teleoperation with real-time video streaming. With interactive instruction feature, the robot understands natural language instructions such as ""Move to the right slowly"", ""tell me your battery level"", ""tell me where you are"", ""what object are you seeing and how is the condition?"", etc. We showcased parts of this demo in AWS Summit Japan, and this time show how the robot executes the given task using Amazon Bedrock Agents.",2024-12-05,10:00,16:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 25
Builders' Fair,Mobile robot teleoperation with interactive instruction feature [REPEAT],"See a demo of mobile robot teleoperation with real-time video streaming. With interactive instruction feature, the robot understands natural language instructions such as ""Move to the right slowly"", ""tell me your battery level"", ""tell me where you are"", ""what object are you seeing and how is the condition?"", etc. We showcased parts of this demo in AWS Summit Japan, and this time show how the robot executes the given task using Amazon Bedrock Agents.",2024-12-04,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 25
Keynote,Monday Night Live with Peter DeSantis,"Join Peter DeSantis, Senior Vice President of AWS Utility Computing, as he continues the Monday Night Live tradition of diving deep into the engineering that powers AWS services. Get a closer look at how our unique approach and culture of innovation help create leading-edge solutions across the entire spectrum, from silicon to services—without compromising on performance or cost.",2024-12-02,19:30,21:00,Venetian | Level 2 | Venetian Ballroom F
Builders' session,Monitor end user experience with Amazon CloudWatch [REPEAT],"By extending application performance monitoring to end users as well as frontend experiences, AWS digital experience monitoring enhances customer experiences with an outside-in perspective of application performance across all user touchpoints. Such user experience data provides a complete picture and helps organizations turn frontend performance, user behavior, and APIs into actionable KPIs such as release velocity, adoption rate, and conversions. In this builders’ session, learn how applications behave by monitoring both real and synthetic user activity and behavior, using data from ISPs and AWS, and capturing insights from backend infrastructure and devices as well as digital user metrics. You must bring your laptop to participate.",2024-12-02,13:00,14:00,MGM | Level 3 | 350
Chalk talk,Monitoring event flows: Observability for event-driven architectures,"Event-driven architectures (EDAs) offer scalability and promote loose coupling between components of a system, leading to greater agility. However, EDAs bring with them observability challenges. Gain visibility into complex event flows in an asynchronous architecture that involves messaging services. In this interactive chalk talk, explore tracing with OpenTelemetry to view the full event journey. Also, learn how to assemble metrics and logs for insights into sharding, performance, and root cause analysis along with best practices for popular EDA patterns.",2024-12-02,12:00,13:00,Mandalay Bay | Lower Level North | South Pacific D
Workshop,Must-know techniques to optimize your AWS environment [REPEAT],"This workshop equips you (particularly if you are new to AWS) with essential tools and techniques that can be used to optimize your environments, even before changing a single line of code in your applications. Using hands-on exercises, learn to leverage AWS Compute Optimizer, AWS Cost Explorer, AWS Trusted Advisor, and additional resources to identify cost savings, improve performance and resilience, and strengthen your security posture. Leave equipped to take full control of your AWS environment and unlock its full potential. You must bring your laptop to participate.",2024-12-03,12:30,14:30,Wynn | Convention Promenade | Margaux 2
Breakout session,NatWest: Personalizing customer experience with Amazon Connect & AI/ML,"NatWest has been at the forefront of innovating with new Amazon Connect features and capabilities to improve the customer experience. In this session, learn how NatWest is using richer data and generative AI within its contact center to innovate faster and drive business value. Explore how NatWest uses Amazon Connect data and analytics capabilities, including Contact Lens, to analyze customer sentiment and inform agent decisions using data points like call volume, handle time, and transfers. Hear how NatWest is using Amazon Q in Connect to improve customer intent detection and deliver more personalized customer interactions at scale.",2024-12-02,08:30,09:30,Wynn | Convention Promenade | Latour 2
Builders' session,Observability-driven development [REPEAT],"Operational excellence is a must-have for a well-architected workload and is integral to delivering a fault-tolerant, resilient, and performant workload. In this builders’ session, learn architectural best practices to help develop a workload health dashboard using AWS X-Ray and Amazon CloudWatch. Insights from the dashboard can help teams to track, inspect, and ingest continuous improvement toward operational excellence. Explore features such as machine learning (ML)–based anomaly detection to help identify abnormal usage patterns; a dark launching technique to help experiment with new, innovative features; and multi-tenant cost allocations based on usage. You must bring your laptop to participate.",2024-12-02,10:30,11:30,MGM | Level 3 | 353
Chalk talk,Operational excellence: Best practices for resilient systems [REPEAT],"In this chalk talk, learn how operational practices such as logging, health checks, and safe deployment affect the resilience of well-architected applications. Explore use cases demonstrating potential implications of poor operational practices on system availability and analyze these use cases in line with well-architected principles. Learn about improvement strategies and best practices to enhance the resilience of your AWS architecture. Session goals include understanding how different operational practices can affect the resilience of well-architected applications, exploring and analyzing different use cases impacting resiliency with AWS experts; and learning about operational best practices in line with well-architected principles to improve resilience of your AWS architecture.",2024-12-02,09:00,10:00,MGM | Level 1 | 105
Builders' Fair,P3: Putting practice prototype with AI coaching [REPEAT],"Showcase your putting skills at re:Invent's P3 event! Our advanced computer vision models, powered by Amazon SageMaker, will track your every putt, capturing the motion of your putter, the ball, and your body. The AI-powered P3 Putting Coach will analyze this data, providing personalized feedback on your consistency, accuracy, and technique. Use these insights to refine your putting and take your game to new heights. Your performance will be scored based on successful putts, distance attempted, and stroke consistency. The top scorers earn a spot on the prestigious P3 Leaderboard, cementing their status as putting virtuosos.",2024-12-05,10:00,16:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 26
Builders' Fair,PokerVision: The ultimate poker mentor for players of all levels [REPEAT],"PokerVision offers an immersive AR poker experience, guiding players of all levels. Wear AR headsets or use your device to choose an avatar and witness poker analytics—winning odds, best hand, and cards needed to improve your hand. Powered by Amazon Bedrock, it calculates optimal moves and odds, acting as your strategic advisor. Join the revolution with PokerVision, a platform making poker accessible and engaging across all levels, mentoring you to poker proficiency.",2024-12-05,10:00,16:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 27
Builders' Fair,PokerVision: The ultimate poker mentor for players of all levels [REPEAT],"PokerVision offers an immersive AR poker experience, guiding players of all levels. Wear AR headsets or use your device to choose an avatar and witness poker analytics—winning odds, best hand, and cards needed to improve your hand. Powered by Amazon Bedrock, it calculates optimal moves and odds, acting as your strategic advisor. Join the revolution with PokerVision, a platform making poker accessible and engaging across all levels, mentoring you to poker proficiency.",2024-12-04,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 27
Bootcamp,Practical data science with Amazon SageMaker,This bootcamp immerses you in the world of data science on Amazon SageMaker. Learn the core machine learning (ML) development process and build applications that integrate with ML through hands-on labs and demonstrations.,2024-12-04,08:00,17:00,Mandalay Bay | Level 2 South | Mandalay Bay Ballroom C
Breakout session,Prepare for your next AWS Certification exam,"In this 45-minute lab with the exam prep team, walk through the four-step plan to prepare for AWS Certification exams and learn about the official materials available in AWS Skill Builder. Search the AWS re:Invent catalog for exam prep sessions for foundational-, associate-, and professional-level exams. ",2024-12-02,09:00,10:00,Mandalay Bay | Level 2 South | Breakers H
Chalk talk,Quantum computing and AI with Amazon Braket [REPEAT],"Quantum computing and AI are two of the most transformative technologies of our time, each rapidly advancing and offering new possibilities. But what happens when these two fields intersect? In this chalk talk, explore the emerging synergies between quantum computing and AI, uncovering how they can complement and enhance each other. Discover how AI can optimize quantum circuits and accelerate algorithm development, as well as how quantum hardware has the potential to revolutionize AI applications. Gain insights into the future of these technologies and how Amazon Braket is at the forefront of this exciting convergence.",2024-12-02,08:30,09:30,MGM | Level 3 | 307
Breakout session,Real-time event patterns with WebSockets and AWS AppSync,"AWS AppSync makes it easier for developers to build applications that consume real-time data updates and events, like live sports scores and stats, group chat messages, prices, or location and schedule updates. With AWS AppSync managed WebSocket channels, you can easily scale to connect millions of users and deliver billions of messages. In this session, learn how organizations like PGA Tour are using AWS AppSync to deliver real-time event updates to their application users. Additionally, get an overview of new features like enhanced filtering options and native integration with Amazon EventBridge. ",2024-12-02,08:30,09:30,MGM | Level 3 | Chairmans 370
Chalk talk,Resilient and resourceful: Balance compute resiliency and costs,"Amazon EC2 Auto Scaling helps you maintain application availability and automatically add or remove Amazon EC2 instances using scaling policies that you define. In this chalk talk, dive deep into Amazon EC2 Auto Scaling innovations and best practices designed to increase the resiliency of your applications while meeting your cost-efficiency objectives. Learn how your deployment patterns and tools such as Amazon EC2 Auto Scaling instance maintenance policy and instance refresh rollback can help you achieve the exact balance of healthy compute capacity needed.",2024-12-02,09:00,10:00,Wynn | Convention Promenade | Latour 5
Code talk,Serverless developer experience: A day in the life of a developer,"What does it mean to be a serverless developer? What disciplines do you need to master to build cloud-native, serverless solutions today? In this code talk, walk through a day in the life of a serverless developer and explore the core principles, architecture patterns, frameworks, and tools you need to know to build your next-generation serverless application.",2024-12-02,10:00,11:00,Wynn | Convention Promenade | Margaux 1
Builders' Fair,Smarter bin: How to train your trash can [REPEAT],"This new version of the smart bin uses multi-modal generative AI capabilities to automatically sort trash that’s thrown into it. Instead of using pre-trained vision models, which require the user to provide an image dataset and which may not generalize to new items, this version is able to continuously learn with instant feedback from the users as they discard new items. Instead of “talking trash,” the smart bin educates users with fun facts on sustainability that incentivize them to keep recycling.",2024-12-05,10:00,16:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 31
Builders' Fair,Smarter bin: How to train your trash can [REPEAT],"This new version of the smart bin uses multi-modal generative AI capabilities to automatically sort trash that’s thrown into it. Instead of using pre-trained vision models, which require the user to provide an image dataset and which may not generalize to new items, this version is able to continuously learn with instant feedback from the users as they discard new items. Instead of “talking trash,” the smart bin educates users with fun facts on sustainability that incentivize them to keep recycling.",2024-12-04,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 31
Workshop,The AWS Step Functions workshop,"Join this workshop to learn about the primary features of AWS Step Functions. Step Functions is a low-code visual workflow service that developers use to build distributed applications, automate IT and business processes, and build data and machine learning pipelines based on AWS services. This workshop contains a series of interactive modules that provide hands-on experience building resilient workflows with robust error handling in a workshop environment. You must bring your laptop to participate. ",2024-12-02,15:00,17:00,Caesars Forum | Level 1 | Summit 228
Chalk talk,The life of an IAM policy [REPEAT],"Join this chalk talk for a behind-the-scenes peek at how requests to AWS services are authenticated and authorized. Follow the journey of a policy from its creation to its use to authorize a request, and learn some practical tips about each policy type along the way. Learn when to expect certain condition keys to be set for an AWS request, how to deal with eventual consistency when testing your policies, how you can implement a policy review process, and more. Take a glimpse at some of the internal mechanisms that AWS uses to help keep you secure.",2024-12-02,13:00,14:00,Wynn | Convention Promenade | La Tache 1
Breakout session,"Think big, build small: When to scale and when to simplify","Creating a cloud architecture can be bewildering and intimidating. When do I need multiple zones or regions? Which services should I use or avoid? When should I scale vertically and when horizontally? How do I optimize for enduring business value and agility? In this session, hear insights and guidance developed from working with successful AWS customers. Discover how AWS thinks about different architectural tiers, fosters engineering toward simplicity and reliability, and focuses on infrastructure as an investment, with trade-offs and returns.",2024-12-05,14:00,15:00,MGM | Level 1 | Grand 120
Interactive training,Troubleshoot network connectivity in a peered VPC,"In this lab, learn about the connectivity concepts of Amazon Virtual Private Cloud (Amazon VPC). Explore how to troubleshoot network connectivity issues, and then learn how to fix the configuration to allow HTTP traffic between the client and server via VPC peering.",2024-12-02,08:00,09:30,Mandalay Bay | Level 2 South | Lagoon L
Chalk talk,Unleashing AWS agility with Terraform [REPEAT],"In this session, discover how to leverage Terraform to streamline infrastructure provisioning on AWS. Learn to define your desired AWS resource state using Terraform's human-readable configuration files, enabling consistent and repeatable deployments. Explore the power of Terraform modules for code reuse, organization, and maintainability. Understand how to structure your Terraform codebase into reusable modules, promoting collaboration and standardization across your organization. Unlock the full potential of Terraform on AWS, enabling you to build, change, and version your infrastructure with confidence, agility, and scalability.",2024-12-02,15:00,16:00,MGM | Level 1 | Boulevard 169
Chalk talk,Unlock near real-time financial news insights with generative AI,"The speed and proliferation of news impacting financial markets poses a perennial challenge for investors needing to make informed decisions in a dynamic environment. This chalk talk introduces an open source solution that clusters news into concise summaries and provides up-to-the-minute insights using Amazon SageMaker and Amazon Bedrock. Learn about the architecture and integration of AWS services to achieve a throughput of dozens of articles per second and cluster over one million articles per day. Explore how performance benchmarks, optimization techniques, and the use of generative AI can help portfolio managers and traders better manage risk and rapidly adapt their portfolios.",2024-12-02,11:30,12:30,Wynn | Convention Promenade | Montrachet 1
Builders' session,Write less code: Building applications with a serverless mindset [REPEAT],"Building with a serverless mindset focuses on business value. You can derive more value by using built-in integrations between AWS services set up through configuration than by writing glue code. This hands-on session explores patterns for using direct service integrations using Amazon API Gateway, AWS Step Functions, and Amazon EventBridge. Discover the efficiency of utilizing configuration to streamline development tasks, and push the heavy lifting to AWS. You must bring your laptop to participate.",2024-12-02,12:00,13:00,Wynn | Level 1 | Lafite 4 | Content Hub | Builder's 1
Chalk talk,"Your mission and the terrible, horrible, no good, very bad day [REPEAT]","Even with the best planning, hardware and software can fail, prized employees can leave, and the unexpected can disrupt operations. A disaster is often the time when it’s critical for mission-based workloads (such as credit union banking or fundraising solutions) to be available. How do you deliver on your mission when the unexpected happens? In this chalk talk, learn about ways to minimize workload impacts, including architectural practices, monitoring patterns, and gray failure detection, and discover how to build a culture of continuous resilience. Gain the knowledge necessary to deliver on your mission even when faced with a disaster.",2024-12-02,11:30,12:30,Wynn | Convention Promenade | Lafite 1
